(W m-2),a no aerosol,b aerosol in SW,b aerosol in SW - a no aerosol
Incoming solar radiation,393.6000061035156,391.67999267578125,-1.9199999570846558
Surface net downward,289.44000244140625,284.8800048828125,-4.550000190734863
Atmosphere heating,104.16000366210938,106.79000091552734,2.630000114440918
