(W m-2),a McICA,b MaxRandCldscaleX,b MaxRandCldscaleX - a McICA
Outgoing longwave radiation,279.25,278.489990234375,-0.7599999904632568
Surface net upward,49.0099983215332,47.029998779296875,-1.9800000190734863
Atmosphere cooling,230.24000549316406,231.4600067138672,1.2300000190734863
