(W m-2),a McICA,b MaxRandCldscaleX,b MaxRandCldscaleX - a McICA
Incoming solar radiation,393.6000061035156,393.67999267578125,0.07999999821186066
Surface net downward,289.44000244140625,289.2200012207031,-0.2199999988079071
Atmosphere heating,104.16000366210938,104.45999908447266,0.30000001192092896
