(W m-2),a McICA,b MaxRand,b MaxRand - a McICA
Outgoing longwave radiation,235.38999938964844,230.16000366210938,-5.230000019073486
Surface net upward,35.47999954223633,31.790000915527344,-3.690000057220459
Atmosphere cooling,199.91000366210938,198.3699951171875,-1.5399999618530273
