(W m-2),a McICA,b MaxRand,b MaxRand - a McICA
Incoming solar radiation,298.1099853515625,285.3500061035156,-12.760000228881836
Surface net downward,190.55999755859375,176.64999389648438,-13.90999984741211
Atmosphere heating,107.55000305175781,108.69999694824219,1.149999976158142
