(W m-2),a RRTMG,b CLIRAD,b CLIRAD - a RRTMG
Incoming solar radiation,275.82000732421875,256.239990234375,-19.579999923706055
Surface net downward,168.14999389648438,167.50999450683594,-0.6499999761581421
Atmosphere heating,107.66000366210938,88.7300033569336,-18.93000030517578
