(W m-2),a no aerosol,b aerosol,b aerosol - a no aerosol
Incoming solar radiation,297.95001220703125,297.0,-0.9599999785423279
Surface net downward,189.30999755859375,186.8300018310547,-2.4700000286102295
Atmosphere heating,108.6500015258789,110.16000366210938,1.5199999809265137
