(W m-2),a no aerosol,b aerosol,b aerosol - a no aerosol
Outgoing longwave radiation,279.3399963378906,279.3399963378906,0.0
Surface net upward,46.13999938964844,46.13999938964844,0.0
Atmosphere cooling,233.1999969482422,233.1999969482422,0.0
