(W m-2),a no aerosol,b aerosol,b aerosol - a no aerosol
Incoming solar radiation,393.82000732421875,391.67999267578125,-2.140000104904175
Surface net downward,288.7099914550781,284.8800048828125,-3.819999933242798
Atmosphere heating,105.11000061035156,106.79000091552734,1.6799999475479126
