(W m-2),a no aerosol,b aerosol,b aerosol - a no aerosol
Outgoing longwave radiation,250.52000427246094,250.52000427246094,0.0
Surface net upward,31.520000457763672,31.520000457763672,0.0
Atmosphere cooling,219.0,219.0,0.0
