(W m-2),a no aerosol,b aerosol in SW,b aerosol in SW - a no aerosol
Incoming solar radiation,298.1099853515625,297.0,-1.1200000047683716
Surface net downward,190.55999755859375,186.8300018310547,-3.7300000190734863
Atmosphere heating,107.55000305175781,110.16000366210938,2.619999885559082
