(W m-2),a no aerosol,b aerosol in LW,b aerosol in LW - a no aerosol
Outgoing longwave radiation,280.0899963378906,280.69000244140625,0.6000000238418579
Surface net upward,49.11000061035156,48.16999816894531,-0.9399999976158142
Atmosphere cooling,230.97999572753906,232.52000427246094,1.5399999618530273
