(W m-2),a no aerosol,b aerosol in LW,b aerosol in LW - a no aerosol
Incoming solar radiation,391.5400085449219,391.5799865722656,0.05000000074505806
Surface net downward,295.82000732421875,295.6700134277344,-0.1599999964237213
Atmosphere heating,95.70999908447266,95.91999816894531,0.20999999344348907
