(W m-2),a no aerosol,b aerosol in LW,b aerosol in LW - a no aerosol
Outgoing longwave radiation,245.6999969482422,248.61000061035156,2.9100000858306885
Surface net upward,33.88999938964844,34.880001068115234,0.9900000095367432
Atmosphere cooling,211.80999755859375,213.74000549316406,1.9299999475479126
