(W m-2),a no aerosol,b aerosol in LW,b aerosol in LW - a no aerosol
Incoming solar radiation,272.4700012207031,276.4700012207031,4.0
Surface net downward,174.02999877929688,178.3800048828125,4.349999904632568
Atmosphere heating,98.44000244140625,98.08999633789062,-0.3499999940395355
