(W m-2),a McICA,b MaxRand,b MaxRand - a McICA
Outgoing longwave radiation,235.38999938964844,232.0,-3.390000104904175
Surface net upward,35.47999954223633,33.09000015258789,-2.390000104904175
Atmosphere cooling,199.91000366210938,198.91000366210938,-1.0
