(W m-2),a no aerosol,b no aerosol,b no aerosol - a no aerosol
Incoming solar radiation,391.989990234375,391.989990234375,0.0
Surface net downward,294.2900085449219,294.2900085449219,0.0
Atmosphere heating,97.70999908447266,97.70999908447266,0.0
