(W m-2),a no aerosol,b aerosol,b aerosol - a no aerosol
Incoming solar radiation,393.6000061035156,391.6600036621094,-1.940000057220459
Surface net downward,289.44000244140625,285.94000244140625,-3.5
Atmosphere heating,104.16000366210938,105.72000122070312,1.559999942779541
