(W m-2),a no aerosol,b aerosol,b aerosol - a no aerosol
Incoming solar radiation,298.1099853515625,297.2099914550781,-0.8999999761581421
Surface net downward,190.55999755859375,188.1999969482422,-2.359999895095825
Atmosphere heating,107.55000305175781,109.0,1.4600000381469727
