(W m-2),a McICA,b MaxRand,b MaxRand - a McICA
Incoming solar radiation,275.82000732421875,265.739990234375,-10.079999923706055
Surface net downward,168.14999389648438,156.92999267578125,-11.220000267028809
Atmosphere heating,107.66000366210938,108.80000305175781,1.1399999856948853
