(W m-2),a McICA,b MaxRand,b MaxRand - a McICA
Incoming solar radiation,298.1099853515625,283.4100036621094,-14.699999809265137
Surface net downward,190.55999755859375,174.69000244140625,-15.869999885559082
Atmosphere heating,107.55000305175781,108.70999908447266,1.1699999570846558
