(W m-2),a no aerosol,b no aerosol,b no aerosol - a no aerosol
Incoming solar radiation,389.5,389.5,0.0
Surface net downward,290.4800109863281,290.4800109863281,0.0
Atmosphere heating,99.0199966430664,99.0199966430664,0.0
