(W m-2),a RRTMG,b CLIRAD,b CLIRAD - a RRTMG
Outgoing longwave radiation,205.1199951171875,211.35000610351562,6.230000019073486
Surface net upward,57.29999923706055,65.80999755859375,8.510000228881836
Atmosphere cooling,147.80999755859375,145.5399932861328,-2.2699999809265137
