(W m-2),a RRTMG,b CLIRAD,b CLIRAD - a RRTMG
Incoming solar radiation,295.04998779296875,270.7900085449219,-24.25
Surface net downward,186.61000061035156,169.02000427246094,-17.59000015258789
Atmosphere heating,108.44000244140625,101.77999877929688,-6.659999847412109
