(W m-2),a McICA,b MaxRandCldscaleX,b MaxRandCldscaleX - a McICA
Incoming solar radiation,298.1099853515625,282.8800048828125,-15.229999542236328
Surface net downward,190.55999755859375,173.36000061035156,-17.200000762939453
Atmosphere heating,107.55000305175781,109.5199966430664,1.9700000286102295
