(W m-2),a McICA,b MaxRandCldscaleX,b MaxRandCldscaleX - a McICA
Outgoing longwave radiation,235.38999938964844,234.25,-1.1399999856948853
Surface net upward,35.47999954223633,32.34000015258789,-3.140000104904175
Atmosphere cooling,199.91000366210938,201.91000366210938,2.0
