(W m-2),a no aerosol,b aerosol in LW,b aerosol in LW - a no aerosol
Incoming solar radiation,298.1099853515625,300.3500061035156,2.240000009536743
Surface net downward,190.55999755859375,193.6999969482422,3.130000114440918
Atmosphere heating,107.55000305175781,106.6500015258789,-0.8999999761581421
