(W m-2),all RRTMG,rad CLIRAD,rad CLIRAD - all RRTMG
Outgoing longwave radiation,211.80999755859375,225.72999572753906,13.920000076293945
Surface net upward,43.130001068115234,41.91999816894531,-1.2100000381469727
Atmosphere cooling,168.67999267578125,183.80999755859375,15.130000114440918
