(W m-2),a no aerosol,b aerosol in SW,b aerosol in SW - a no aerosol
Incoming solar radiation,391.6400146484375,389.69000244140625,-1.9500000476837158
Surface net downward,295.4599914550781,292.9200134277344,-2.549999952316284
Atmosphere heating,96.18000030517578,96.77999877929688,0.6000000238418579
