(W m-2),a no aerosol,b aerosol in SW,b aerosol in SW - a no aerosol
Incoming solar radiation,272.4700012207031,269.05999755859375,-3.4100000858306885
Surface net downward,174.02999877929688,169.6999969482422,-4.329999923706055
Atmosphere heating,98.44000244140625,99.36000061035156,0.9200000166893005
