(W m-2),a no aerosol,b aerosol in SW,b aerosol in SW - a no aerosol
Outgoing longwave radiation,245.1300048828125,250.3800048828125,5.25
Surface net upward,32.560001373291016,36.56999969482422,4.010000228881836
Atmosphere cooling,212.57000732421875,213.80999755859375,1.2400000095367432
