(W m-2),a McICA,b MaxRand,b MaxRand - a McICA
Incoming solar radiation,275.82000732421875,268.94000244140625,-6.880000114440918
Surface net downward,168.14999389648438,160.30999755859375,-7.849999904632568
Atmosphere heating,107.66000366210938,108.62999725341797,0.9700000286102295
