(W m-2),a no aerosol,b aerosol in SW,b aerosol in SW - a no aerosol
Outgoing longwave radiation,245.6999969482422,248.8000030517578,3.0999999046325684
Surface net upward,33.88999938964844,32.970001220703125,-0.9200000166893005
Atmosphere cooling,211.80999755859375,215.8300018310547,4.019999980926514
