(W m-2),a no aerosol,b aerosol in SW,b aerosol in SW - a no aerosol
Incoming solar radiation,393.7699890136719,391.760009765625,-2.009999990463257
Surface net downward,288.8500061035156,285.92999267578125,-2.9100000858306885
Atmosphere heating,104.93000030517578,105.83000183105469,0.8999999761581421
