(W m-2),a no aerosol,b aerosol in SW,b aerosol in SW - a no aerosol
Outgoing longwave radiation,279.25,279.3399963378906,0.10000000149011612
Surface net upward,49.0099983215332,46.13999938964844,-2.869999885559082
Atmosphere cooling,230.24000549316406,233.1999969482422,2.9600000381469727
