(W m-2),a no aerosol,b aerosol in SW,b aerosol in SW - a no aerosol
Incoming solar radiation,295.04998779296875,302.7099914550781,7.670000076293945
Surface net downward,186.61000061035156,193.17999267578125,6.570000171661377
Atmosphere heating,108.44000244140625,109.54000091552734,1.100000023841858
