(W m-2),a McICA,b MaxRand,b MaxRand - a McICA
Outgoing longwave radiation,211.80999755859375,210.75999450683594,-1.0499999523162842
Surface net upward,43.130001068115234,39.08000183105469,-4.059999942779541
Atmosphere cooling,168.67999267578125,171.67999267578125,3.0
