(W m-2),a no aerosol,b aerosol in LW,b aerosol in LW - a no aerosol
Incoming solar radiation,393.6000061035156,393.5899963378906,-0.0
Surface net downward,289.44000244140625,289.4100036621094,-0.029999999329447746
Atmosphere heating,104.16000366210938,104.18000030517578,0.019999999552965164
