(W m-2),a no aerosol,b aerosol in LW,b aerosol in LW - a no aerosol
Outgoing longwave radiation,279.25,279.1600036621094,-0.09000000357627869
Surface net upward,49.0099983215332,49.369998931884766,0.3499999940395355
Atmosphere cooling,230.24000549316406,229.7899932861328,-0.4399999976158142
