(W m-2),a no aerosol,b aerosol,b aerosol - a no aerosol
Incoming solar radiation,277.95001220703125,277.95001220703125,0.0
Surface net downward,179.00999450683594,179.00999450683594,0.0
Atmosphere heating,98.94000244140625,98.94000244140625,0.0
