(W m-2),a no aerosol,b aerosol,b aerosol - a no aerosol
Incoming solar radiation,300.3500061035156,300.3500061035156,0.0
Surface net downward,193.6999969482422,193.6999969482422,0.0
Atmosphere heating,106.6500015258789,106.6500015258789,0.0
