(W m-2),all RRTMG,rad CLIRAD,rad CLIRAD - all RRTMG
Incoming solar radiation,298.1099853515625,276.3399963378906,-21.770000457763672
Surface net downward,190.55999755859375,177.4600067138672,-13.100000381469727
Atmosphere heating,107.55000305175781,98.87000274658203,-8.680000305175781
