(W m-2),all RRTMG,rad CLIRAD,rad CLIRAD - all RRTMG
Outgoing longwave radiation,279.25,282.75,3.509999990463257
Surface net upward,49.0099983215332,46.279998779296875,-2.7300000190734863
Atmosphere cooling,230.24000549316406,236.47999572753906,6.239999771118164
