(W m-2),all RRTMG,rad CLIRAD,rad CLIRAD - all RRTMG
Incoming solar radiation,393.6000061035156,391.7699890136719,-1.8200000524520874
Surface net downward,289.44000244140625,294.95001220703125,5.510000228881836
Atmosphere heating,104.16000366210938,96.83000183105469,-7.329999923706055
