(W m-2),a RRTMG,b CLIRAD,b CLIRAD - a RRTMG
Incoming solar radiation,298.1099853515625,267.510009765625,-30.600000381469727
Surface net downward,190.55999755859375,169.61000061035156,-20.959999084472656
Atmosphere heating,107.55000305175781,97.91000366210938,-9.640000343322754
