(W m-2),a RRTMG,b CLIRAD,b CLIRAD - a RRTMG
Incoming solar radiation,302.7099914550781,276.1300048828125,-26.59000015258789
Surface net downward,193.17999267578125,177.17999267578125,-16.0
Atmosphere heating,109.54000091552734,98.94999694824219,-10.59000015258789
