(W m-2),a RRTMG,b CLIRAD,b CLIRAD - a RRTMG
Incoming solar radiation,391.760009765625,389.6400146484375,-2.119999885559082
Surface net downward,285.92999267578125,291.4599914550781,5.53000020980835
Atmosphere heating,105.83000183105469,98.18000030517578,-7.650000095367432
