(W m-2),a no aerosol,b aerosol,b aerosol - a no aerosol
Incoming solar radiation,393.5899963378906,393.5899963378906,0.0
Surface net downward,289.4100036621094,289.4100036621094,0.0
Atmosphere heating,104.18000030517578,104.18000030517578,0.0
