(W m-2),a no aerosol,b aerosol,b aerosol - a no aerosol
Incoming solar radiation,303.6300048828125,302.7099914550781,-0.9100000262260437
Surface net downward,195.4600067138672,193.17999267578125,-2.2899999618530273
Atmosphere heating,108.16999816894531,109.54000091552734,1.3700000047683716
