(W m-2),a no aerosol,b aerosol,b aerosol - a no aerosol
Outgoing longwave radiation,234.5399932861328,234.5399932861328,0.0
Surface net upward,32.900001525878906,32.900001525878906,0.0
Atmosphere cooling,201.64999389648438,201.64999389648438,0.0
