(W m-2),a no aerosol,b aerosol,b aerosol - a no aerosol
Outgoing longwave radiation,283.4599914550781,283.4599914550781,0.0
Surface net upward,45.790000915527344,45.790000915527344,0.0
Atmosphere cooling,237.6699981689453,237.6699981689453,0.0
