(W m-2),a no aerosol,b aerosol,b aerosol - a no aerosol
Incoming solar radiation,277.1499938964844,276.1300048828125,-1.0299999713897705
Surface net downward,179.22999572753906,177.17999267578125,-2.049999952316284
Atmosphere heating,97.91999816894531,98.94999694824219,1.0299999713897705
