(W m-2),a no aerosol,b aerosol,b aerosol - a no aerosol
Incoming solar radiation,391.80999755859375,389.6400146484375,-2.1700000762939453
Surface net downward,294.82000732421875,291.4599914550781,-3.359999895095825
Atmosphere heating,96.98999786376953,98.18000030517578,1.2000000476837158
