(W m-2),a H1996,b H2012,b H2012 - a H1996
Outgoing longwave radiation,245.6999969482422,248.3000030517578,2.5999999046325684
Surface net upward,33.88999938964844,32.369998931884766,-1.5299999713897705
Atmosphere cooling,211.80999755859375,215.92999267578125,4.119999885559082
