(W m-2),a H1996,b H2012,b H2012 - a H1996
Incoming solar radiation,391.5400085449219,394.55999755859375,3.0199999809265137
Surface net downward,295.82000732421875,293.6700134277344,-2.1500000953674316
Atmosphere heating,95.70999908447266,100.88999938964844,5.170000076293945
