(W m-2),a H1996,b H2012,b H2012 - a H1996
Outgoing longwave radiation,280.0899963378906,278.5799865722656,-1.5199999809265137
Surface net upward,49.11000061035156,46.06999969482422,-3.0399999618530273
Atmosphere cooling,230.97999572753906,232.5,1.5199999809265137
