(W m-2),a H1996,b H2012,b H2012 - a H1996
Incoming solar radiation,272.4700012207031,272.1700134277344,-0.30000001192092896
Surface net downward,174.02999877929688,170.17999267578125,-3.8499999046325684
Atmosphere heating,98.44000244140625,101.98999786376953,3.549999952316284
