(W m-2),all RRTMG,rad CLIRAD,rad CLIRAD - all RRTMG
Incoming solar radiation,41.7599983215332,40.939998626708984,-0.8100000023841858
Surface net downward,24.989999771118164,24.899999618530273,-0.09000000357627869
Atmosphere heating,16.760000228881836,16.040000915527344,-0.7200000286102295
