(W m-2),all RRTMG,rad CLIRAD,rad CLIRAD - all RRTMG
Incoming solar radiation,37.27000045776367,35.88999938964844,-1.3799999952316284
Surface net downward,20.920000076293945,20.889999389648438,-0.029999999329447746
Atmosphere heating,16.350000381469727,14.989999771118164,-1.3600000143051147
