(W m-2),all RRTMG,rad CLIRAD,rad CLIRAD - all RRTMG
Outgoing longwave radiation,269.7200012207031,273.2699890136719,3.549999952316284
Surface net upward,67.73999786376953,67.02999877929688,-0.699999988079071
Atmosphere cooling,201.97999572753906,206.22999572753906,4.25
