(W m-2),all RRTMG,rad CLIRAD,rad CLIRAD - all RRTMG
Incoming solar radiation,407.0299987792969,405.8699951171875,-1.149999976158142
Surface net downward,309.92999267578125,315.44000244140625,5.510000228881836
Atmosphere heating,97.0999984741211,90.44000244140625,-6.659999847412109
