(W m-2),a no aerosol,b no aerosol,b no aerosol - a no aerosol
Incoming solar radiation,271.95001220703125,271.95001220703125,0.0
Surface net downward,171.38999938964844,171.38999938964844,0.0
Atmosphere heating,100.55999755859375,100.55999755859375,0.0
