(W m-2),a McICA,b MaxRand,b MaxRand - a McICA
Incoming solar radiation,37.27000045776367,37.18000030517578,-0.09000000357627869
Surface net downward,20.920000076293945,20.829999923706055,-0.10000000149011612
Atmosphere heating,16.350000381469727,16.350000381469727,0.0
