(W m-2),a no aerosol,b no aerosol,b no aerosol - a no aerosol
Incoming solar radiation,273.0400085449219,273.0400085449219,0.0
Surface net downward,173.60000610351562,173.60000610351562,0.0
Atmosphere heating,99.44000244140625,99.44000244140625,0.0
